Operation,Runtime (s),CPU Energy (J),GPU Energy (J),Output Token Limit,Input Token Size,Iteration,Model Name,Number of GPUs,Prompt,Output Token Size,Batch Size,System Name,GPU Memory (MB)
load model,22.188042879104614,26.70374627142064,0.5078825799999998,64,0,0,Llama-2-7b-chat-hf,1,,0,32,M1-Pro,12916.51563
inference-A-0,40.301955699920654,102.92756525100071,235.31420037999993,64,9,0,Llama-2-7b-chat-hf,1,What is the largest city in France?,64,32,M1-Pro,12916.51563
inference-A-1,18.659407138824463,22.56907936107196,242.0462925,64,9,1,Llama-2-7b-chat-hf,1,What is the largest city in France?,64,32,M1-Pro,12916.51563
inference-A-2,18.620187282562256,22.851430861392277,243.1484267,64,9,2,Llama-2-7b-chat-hf,1,What is the largest city in France?,64,32,M1-Pro,12916.51563
inference-A-3,18.622408866882324,22.57250128,244.18261141999992,64,9,3,Llama-2-7b-chat-hf,1,What is the largest city in France?,64,32,M1-Pro,12916.51563
inference-A-4,18.65014123916626,23.06027041853144,244.64478536999997,64,9,4,Llama-2-7b-chat-hf,1,What is the largest city in France?,64,32,M1-Pro,12916.51563
inference-A-5,18.61992907524109,23.026868940675772,245.1477973,64,9,5,Llama-2-7b-chat-hf,1,What is the largest city in France?,64,32,M1-Pro,12916.51563
inference-A-6,18.626931190490723,23.20058654690317,244.6629558,64,9,6,Llama-2-7b-chat-hf,1,What is the largest city in France?,64,32,M1-Pro,12916.51563
inference-B-0,26.90432119369507,46.49984782647463,295.89039,64,21,0,Llama-2-7b-chat-hf,1,Can you explain the difference between a simile an,63,32,M1-Pro,12916.51563
inference-B-1,20.854724168777462,22.94141890627914,296.82807127999996,64,21,1,Llama-2-7b-chat-hf,1,Can you explain the difference between a simile an,64,32,M1-Pro,12916.51563
inference-B-2,20.906225204467773,22.624529699051926,296.31993596000007,64,21,2,Llama-2-7b-chat-hf,1,Can you explain the difference between a simile an,60,32,M1-Pro,12916.51563
