Operation,Runtime (s),CPU Energy (J),GPU Energy (J),Output Token Limit,Input Token Size,Iteration,Model Name,Number of GPUs,Prompt,Output Token Size,Batch Size,System Name,GPU Memory (MB)
load model,21.83781099319458,24.860381295549896,1.34787525,64,0,0,Llama-2-7b-chat-hf,1,,0,32,M1-Pro,12916.515625
inference-A-0,17.436794757843018,49.680790009914084,56.74292706,64,8,0,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-1,9.05165696144104,22.986918375501666,56.22382516,64,8,1,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-2,9.26314377784729,23.74213013856027,57.47423498999999,64,8,2,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-3,9.24384093284607,23.572285724857977,56.32836225,64,8,3,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-4,3.5974950790405273,3.2246909810879254,6.16725549,64,8,4,Llama-2-7b-chat-hf,1,What is the capital of France?,16,32,M1-Pro,12916.515625
inference-A-5,9.493029832839966,24.372613217747237,57.605012120000005,64,8,5,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-6,3.9801459312438965,4.731555023183016,10.16027434,64,8,6,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-7,6.268054008483887,13.341640753825907,29.43906640000001,64,8,7,Llama-2-7b-chat-hf,1,What is the capital of France?,40,32,M1-Pro,12916.515625
inference-A-8,10.365575075149536,25.101135415933864,59.380610559999994,64,8,8,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-9,10.342727899551392,25.12269808545806,58.82926346000001,64,8,9,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-10,9.931467056274414,25.24156219395874,58.097914169999996,64,8,10,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-11,4.038383960723877,4.638191715311953,9.50791214,64,8,11,Llama-2-7b-chat-hf,1,What is the capital of France?,18,32,M1-Pro,12916.515625
inference-A-12,9.77187204360962,25.090125584724667,58.087209009999995,64,8,12,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-13,9.464571714401245,24.29892428972615,57.592327020000006,64,8,13,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-14,9.447452783584595,24.395990680047838,57.683926129999996,64,8,14,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-15,10.11338210105896,25.394253374178557,57.46532925000001,64,8,15,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-16,9.900938987731934,25.402374026336577,59.292088580000005,64,8,16,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-17,9.668030977249146,24.83755033218033,57.49920792999999,64,8,17,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-18,9.90851092338562,25.325622102184244,57.57969125,64,8,18,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-19,4.0158820152282715,4.694115442804906,9.84942972,64,8,19,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-20,9.723298072814941,24.82676245350731,57.19561892,64,8,20,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-21,9.715857028961182,25.770197758097556,58.341229780000006,64,8,21,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-22,7.308600187301636,16.45292507361577,36.80122515,64,8,22,Llama-2-7b-chat-hf,1,What is the capital of France?,48,32,M1-Pro,12916.515625
inference-A-23,9.901690244674683,25.091195939053673,59.19955373999999,64,8,23,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-24,9.672041177749634,24.706907522862227,57.83963975000001,64,8,24,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-25,9.45993185043335,24.113775559777963,57.09376562,64,8,25,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-26,10.102641820907593,26.17548779732309,59.110771230000005,64,8,26,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-27,10.141637086868286,25.402436351898263,58.54954215000001,64,8,27,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-28,9.91330885887146,25.27167453093443,57.502164779999994,64,8,28,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-29,10.347650051116943,25.430046167936254,58.683770990000006,64,8,29,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-30,10.145481824874878,25.507231759081186,59.57207746,64,8,30,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-31,9.918998003005981,25.50221131419245,60.62367450999999,64,8,31,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-32,10.849716186523438,26.84086877584497,76.61016307,64,8,32,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-33,10.530713081359863,26.49479657798476,70.64339692,64,8,33,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-34,10.800724983215332,27.45024522874403,65.98265481,64,8,34,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
