Operation,Runtime (s),CPU Energy (J),GPU Energy (J),Output Token Limit,Input Token Size,Iteration,Model Name,Number of GPUs,Prompt,Output Token Size,Batch Size,System Name,GPU Memory (MB)
tokenizer,0.33933115005493164,0.27770232,0.0164124,64,0,0,Mistral-7B-v0.1,1,startup,0,32,M1-Pro,0.0
model load,18.36943221092224,207.95363822999997,0.5656191500000001,64,0,0,Mistral-7B-v0.1,1,startup,0,32,M1-Pro,14324.515625
pipeline load,0.0009453296661376953,0.20699354,0.0,64,0,0,Mistral-7B-v0.1,1,startup,0,32,M1-Pro,14324.515625
inference-A-0,17.21496081352234,70.90038982,63.20583343000001,64,8,0,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-1,9.526044130325317,27.691352359999996,62.098062680000005,64,8,1,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-2,9.469763994216919,22.883620860000004,61.10828551,64,8,2,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-3,9.479537725448608,22.91065701,61.92950904,64,8,3,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-4,9.448444366455078,23.20804592,61.73393936,64,8,4,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-5,9.468868732452393,22.815376920000002,61.706607459999994,64,8,5,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-6,9.47869086265564,23.101718990000002,61.53658675000001,64,8,6,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-7,9.437479734420776,22.804931469999996,61.09216893,64,8,7,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-8,9.458384275436401,23.61153904,61.47165735999999,64,8,8,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-9,9.477726221084595,23.139721789999996,61.95023149999997,64,8,9,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-10,9.4356050491333,22.616388960000002,61.27200168999998,64,8,10,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-11,9.7123441696167,25.14867695,63.40639348,64,8,11,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-12,9.433408975601196,22.852804140000003,61.63969521,64,8,12,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-13,9.691728115081787,28.343538470000002,63.66774055,64,8,13,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-14,9.893307209014893,41.29602099999999,65.99111047000001,64,8,14,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-15,9.759598970413208,28.083733500000005,64.01517688999999,64,8,15,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-16,9.911729335784912,34.51474240999999,66.33658730999997,64,8,16,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-17,9.477131128311157,34.65963272000001,63.19708700999999,64,8,17,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-18,9.49983835220337,28.640722110000002,62.684827550000016,64,8,18,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-19,9.734724044799805,36.086961429999995,64.72147299,64,8,19,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-20,9.678788900375366,36.579802009999995,64.80524507999999,64,8,20,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-21,9.76699709892273,41.555188709999996,64.92026550000001,64,8,21,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-22,9.719502925872803,39.634983919999996,65.03196957,64,8,22,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-23,10.242178201675415,57.264861509999996,68.47826254,64,8,23,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-24,9.656656742095947,26.980227420000002,65.10566963000001,64,8,24,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-25,9.618310928344727,27.049594709999994,64.86807206,64,8,25,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-26,9.862107992172241,39.313308430000006,65.31637594999998,64,8,26,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-27,9.584407091140747,33.78457037000001,63.966813450000004,64,8,27,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-28,9.588898181915283,26.30035276,63.784042930000005,64,8,28,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-29,9.818506002426147,31.744710000000005,65.18382027999999,64,8,29,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-30,9.792582035064697,31.870569749999998,65.31682442,64,8,30,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-31,9.549964904785156,32.205061369999996,63.44348629999999,64,8,31,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-32,9.805627822875977,33.302366510000006,66.44534649000002,64,8,32,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
inference-A-33,9.81304383277893,33.61492113,67.17911334000001,64,8,33,Mistral-7B-v0.1,1,What is the capital of France?,72,32,M1-Pro,14324.515625
